Job title,Yearly Salary (USD),Years Work Experience
pastor,82500.0,11 - 20 years
Financial analyst,87090.0,21 - 30 years
Marketing Manager,69000.0,8 - 10 years
Receiving Associate,31200.0,5-7 years
Director of Quality,124000.0,11 - 20 years
Project Manager,95900.0,21 - 30 years
Library Specialist,39000.0,11 - 20 years
librarian,40300.0,5-7 years
Accounts Payable Clerk,48000.0,8 - 10 years
Deputy Chief Counsel,70000.0,11 - 20 years
"Manager II, Revenue Operations",125000.0,5-7 years
Director,110000.0,11 - 20 years
Patent Attorney,72000.0,5-7 years
HR Generalist,50000.0,5-7 years
Systems Engineer,62000.0,11 - 20 years
Product Manager,200000.0,11 - 20 years
UX Engineer,95000.0,5-7 years
Regional Planning Manager,132000.0,11 - 20 years
Applied Scientist,84000.0,11 - 20 years
Consultant ,86000.0,11 - 20 years
Design Lead,47500.0,11 - 20 years
Business Operations,186000.0,5-7 years
Director of Equitable [Core Mission],200000.0,11 - 20 years
Logistics Specialist,54000.0,21 - 30 years
HR Coordinator,54080.0,5-7 years
Packaging Analyst,100000.0,5-7 years
Capability program manager,50000.0,8 - 10 years
Engagement Manager,110000.0,8 - 10 years
Guest and Volunteer Services Manager,62400.0,21 - 30 years
Library Specialist II,50066.0,2 - 4 years
Middle school teacher,82000.0,31 - 40 years
Software Developer,64000.0,5-7 years
Social Supervisor,75000.0,5-7 years
Librarian,75000.0,21 - 30 years
Speech-Language Pathologist,102000.0,2 - 4 years
Mechanical drafter,59426.0,41 years or more
Staff Attorney,80000.0,8 - 10 years
Senior Program Manager,120000.0,11 - 20 years
Marketing Content Writer,93000.0,21 - 30 years
Pharmacy manager ,150000.0,5-7 years
IT Librarian,40000.0,5-7 years
Mechanical Engineer,123000.0,11 - 20 years
Trial Court Assistant,50000.0,21 - 30 years
Senior Project Manager,96000.0,11 - 20 years
"Senior Director, Marketing",145000.0,21 - 30 years
Head of People Operations,110000.0,11 - 20 years
Preconstruction coordinator,49000.0,11 - 20 years
UX Writer,163000.0,8 - 10 years
Research Assistant,41500.0,2 - 4 years
Marketing Coordinator,52000.0,2 - 4 years
Supplier Concierge,35500.0,11 - 20 years
Principal Engineer,165000.0,21 - 30 years
Pharmacy Contracting Manager,102924.0,11 - 20 years
Project Manager,86400.0,5-7 years
Office manager ,52000.0,11 - 20 years
Public health surveillance coordinator ,41000.0,5-7 years
Network administrator,82000.0,5-7 years
Technical Account Manager,88000.0,11 - 20 years
Technical Services Manager,48028.0,5-7 years
Account Manager ,61000.0,11 - 20 years
HR Business Partner,118000.0,11 - 20 years
Senior Research Analyst,67000.0,11 - 20 years
Senior Commission Analyst,70000.0,11 - 20 years
Customer Success Manager,98000.0,11 - 20 years
Operations Coordinator ,53000.0,11 - 20 years
Collections Assistant,27300.0,2 - 4 years
Program Associate ,58000.0,8 - 10 years
"Musician, lesson instructor ",100000.0,11 - 20 years
Geologist,65000.0,8 - 10 years
Administrative Assistant ,39000.0,21 - 30 years
PhD student/teaching assistant,24000.0,8 - 10 years
QA Specialist,85000.0,11 - 20 years
Asst Professor,63000.0,11 - 20 years
Revenue Cycle Sr. Associate,85700.0,11 - 20 years
Litigation Paralegal,63000.0,11 - 20 years
Development coordinator,37796.0,2 - 4 years
Director of Supply Chain,104000.0,8 - 10 years
Communications Specialist ,66500.0,8 - 10 years
CEO,186000.0,8 - 10 years
Software Engineer II,96000.0,5-7 years
Researcher III,35600.0,5-7 years
Paralegal,70210.0,2 - 4 years
Senior Manager,208000.0,21 - 30 years
Communication specialist ,100000.0,11 - 20 years
Director of Communications,103000.0,11 - 20 years
IT Analyst,87000.0,21 - 30 years
Project Coordinator,57000.0,8 - 10 years
Director of Events,48000.0,11 - 20 years
Senior Web Strategist,89000.0,5-7 years
Hospital staff pharmacist,125819.0,5-7 years
Library Paraprofessional,41540.0,11 - 20 years
Associate Scientist II,74000.0,2 - 4 years
Digital Director,195000.0,11 - 20 years
Customer service supervisor,60000.0,11 - 20 years
Interior Designer,46000.0,8 - 10 years
Senior Web Producer,115000.0,21 - 30 years
LVN,77000.0,21 - 30 years
Graphic Designer,32000.0,8 - 10 years
Digital Marketing Manager,75000.0,11 - 20 years
Project Manager ,60000.0,21 - 30 years
Lab Technician (Wastewater Treatment),56000.0,11 - 20 years
Senior Scientist,82000.0,11 - 20 years
Human Resources Representative,54080.0,5-7 years
Office Manager,40000.0,2 - 4 years
Operations Lead,66500.0,8 - 10 years
Grant Management Specialist ,70000.0,11 - 20 years
Field Services Regional Supervisor,90000.0,21 - 30 years
cataloging technician,37107.0,31 - 40 years
Research Scientist 2,76485.0,2 - 4 years
Associate Editor,80964.0,5-7 years
Business Consultant,90000.0,8 - 10 years
Regional Admissions Counselor,50000.0,5-7 years
Senior Manager - Marketing,100000.0,11 - 20 years
Consumer Insights Manager,134500.0,11 - 20 years
HR Specialist,80000.0,8 - 10 years
Professor of English,85000.0,11 - 20 years
Senior Financial Analyst,67000.0,21 - 30 years
Youth Services Manager,63000.0,11 - 20 years
grants manager,101000.0,11 - 20 years
eDiscovery Manager,90000.0,5-7 years
Entertainment media translator,65000.0,11 - 20 years
SEO Specialist,75000.0,8 - 10 years
Library Information Assistant,43000.0,5-7 years
Senior IT Security Analyst,120000.0,5-7 years
Tech Support Tier 1,52000.0,8 - 10 years
E-Commerce & Marketing Manager,60000.0,11 - 20 years
Judge,131000.0,31 - 40 years
Data Specialist,73308.0,11 - 20 years
Reference Librarian,64000.0,11 - 20 years
Office assistant ,35000.0,1 year or less
Lead Accessibility Auditor,62400.0,11 - 20 years
Research Manager,72500.0,11 - 20 years
Equity Advisor,44000.0,11 - 20 years
Postdoctoral Fellow,54285.0,2 - 4 years
Catalog/Transfer Evaluation Coordinator,55000.0,11 - 20 years
Senior Research Administrator,82000.0,11 - 20 years
Teacher,50000.0,5-7 years
Part-Time Reference Librarian,52332.0,11 - 20 years
Registered Nurse,88000.0,8 - 10 years
Instructional Developer,61442.0,11 - 20 years
Strategic Projects Manager,78000.0,5-7 years
Administrative Assistant IV,58300.0,21 - 30 years
Actuarial associate ,101500.0,8 - 10 years
paralegal,63000.0,21 - 30 years
Design Director,108000.0,11 - 20 years
Program Manager,118000.0,21 - 30 years
Teacher/High School Dept Chair,70135.0,21 - 30 years
Biomedical Engineer,141000.0,8 - 10 years
science writer,90000.0,5-7 years
writer,15000.0,21 - 30 years
School Library Technician,41600.0,11 - 20 years
Sr Tech Consultant,180000.0,11 - 20 years
Office Manager,54000.0,2 - 4 years
Accountant,52000.0,5-7 years
Admin,61200.0,2 - 4 years
Senior BI Developer,150000.0,2 - 4 years
IT Specialist,50000.0,21 - 30 years
Supervisor,64000.0,5-7 years
Operations Manager,57000.0,21 - 30 years
Department chair and associate professor,130700.0,11 - 20 years
Human Resources Manager,80000.0,11 - 20 years
Senior software engineer,110000.0,5-7 years
Senior Business Analyst ,80000.0,11 - 20 years
Director,72000.0,2 - 4 years
Library Sales Representative,55000.0,5-7 years
HR Coordinator,47500.0,2 - 4 years
Department Head,69000.0,11 - 20 years
Circulation Specialist,31200.0,5-7 years
Undergraduate Research Assistant,17000.0,2 - 4 years
Senior Analyst,103000.0,11 - 20 years
Program Manager,165000.0,21 - 30 years
Senior Academic Advisor II,59000.0,21 - 30 years
Instructional Designer,125000.0,31 - 40 years
Human Resources Generalist,68000.0,11 - 20 years
Senior Litigation Paralegal,75420.0,31 - 40 years
Creative Producer,91200.0,8 - 10 years
Stewardship Coordinator,51500.0,8 - 10 years
Office Manager,46000.0,21 - 30 years
Manager,158160.0,41 years or more
Controller,90000.0,11 - 20 years
Office assistant ,40400.0,5-7 years
Attorney,101000.0,8 - 10 years
Finance Manager,105000.0,11 - 20 years
Litigation Paralegal,75000.0,8 - 10 years
Senior Layout Specialist,50003.0,21 - 30 years
Administrative Coordinator,54329.0,11 - 20 years
Head of Library Public Services,76000.0,8 - 10 years
senior sysadmin,200000.0,21 - 30 years
Family physician,175000.0,5-7 years
Membership & Student Academy Specialist,41000.0,5-7 years
Senior Librarian,50000.0,21 - 30 years
Sr. Instructional Designer,80000.0,21 - 30 years
Sr Data Analyst,127000.0,21 - 30 years
Communications Director,111000.0,11 - 20 years
Sales Associate,55000.0,21 - 30 years
Editor,45000.0,8 - 10 years
Medical Education Coordinator,52000.0,31 - 40 years
Director of Customer Service,140000.0,21 - 30 years
Staff Accountant,56160.0,5-7 years
Administrative Staff Assistant,76000.0,11 - 20 years
Account Manager,80000.0,2 - 4 years
Assistant Professor,69500.0,5-7 years
Lead software engineer ,118000.0,11 - 20 years
Director of Archives and Special Collections,90119.0,11 - 20 years
Finance Analyst,115000.0,5-7 years
TAP Mentor Teacher,43939.0,11 - 20 years
Judicial Staff Attorney,85000.0,11 - 20 years
Associate Software Engineer,97000.0,1 year or less
Coordinator,41200.0,11 - 20 years
Mortgage Loan Processor ,38875.0,5-7 years
Assistant Librarian,55000.0,5-7 years
Social Worker,48000.0,21 - 30 years
Director of Philanthropy,100000.0,8 - 10 years
Systems Support Analyst,62000.0,11 - 20 years
Senior Technical Program Manager,132800.0,8 - 10 years
Paralegal,51000.0,1 year or less
Director,53500.0,21 - 30 years
Senior manager,80000.0,11 - 20 years
Writer,42000.0,11 - 20 years
Fundraising Manager,70000.0,21 - 30 years
Marketing Director,68000.0,5-7 years
General Manager,42000.0,11 - 20 years
Manager of Strategic Partnerships,149000.0,8 - 10 years
Lead Engineer,126000.0,11 - 20 years
Implementation Consultant,60171.0,2 - 4 years
Project Manager,62172.0,31 - 40 years
Sr. Consulting,122000.0,8 - 10 years
Regulatory Specialist,62000.0,11 - 20 years
Product Marketing Team Lead,61000.0,8 - 10 years
Associate Director,95000.0,8 - 10 years
"Associate director, marketing communications",171000.0,21 - 30 years
Clinical Nurse I,57000.0,1 year or less
Office Manager,52000.0,5-7 years
Assistant to the Associate Superintendent,67900.0,31 - 40 years
Youth Services Librarian,39000.0,8 - 10 years
Director ,170000.0,21 - 30 years
Assistant Director,94400.0,11 - 20 years
Deputy Director ,76750.0,8 - 10 years
Lab tech,40000.0,8 - 10 years
Senior counsel,153000.0,5-7 years
Transfer agent,62000.0,8 - 10 years
Policy Researcher,122000.0,5-7 years
Graphic Designer,57400.0,11 - 20 years
Management Consultant (public sector),98000.0,8 - 10 years
Human Resources Business Partner,77800.0,8 - 10 years
"VP, People",180000.0,11 - 20 years
Administrative Contracting Officer,96000.0,11 - 20 years
Business analyst-intermediate,75000.0,5-7 years
R&D engineer,90000.0,8 - 10 years
Graphic Desinger,64000.0,11 - 20 years
Senior Director of Development,51000.0,11 - 20 years
Social Community Specialist,51000.0,5-7 years
Director of Operations,66000.0,11 - 20 years
Project Manager,95000.0,11 - 20 years
Accounting Manager,120000.0,11 - 20 years
Senior Test Engineer,100000.0,5-7 years
Production Editor,62000.0,11 - 20 years
Global Learning & Development Leader,155000.0,11 - 20 years
Sales Operations Manager,102000.0,11 - 20 years
"Manager, Program Management",200000.0,11 - 20 years
Nurse,65000.0,2 - 4 years
Senior Associate - Audit,75000.0,5-7 years
SE,130000.0,21 - 30 years
Finance Director,115000.0,11 - 20 years
Medical writer,83000.0,8 - 10 years
Digital Research Analyst ,90000.0,11 - 20 years
Instructional Designer (Corporate Training),84000.0,11 - 20 years
Engineering Manager,131000.0,11 - 20 years
Receptionist ,31000.0,8 - 10 years
visitor use assistant,32000.0,5-7 years
Senior Systems Analyst,98000.0,11 - 20 years
Full Professor,80000.0,11 - 20 years
Vice President,99221.0,21 - 30 years
Regulatory Affairs Associate,80000.0,21 - 30 years
Principal Programmer,140000.0,31 - 40 years
Administrative Staff Assistant,46895.0,11 - 20 years
Assistant professor ,62000.0,2 - 4 years
Product Design Manager,126000.0,5-7 years
Senior Engineer,145000.0,21 - 30 years
partner,266250.0,11 - 20 years
Quality Engineer ,100000.0,21 - 30 years
Youth Services Librarian,37440.0,1 year or less
staff writer,57750.0,11 - 20 years
Assistant Director/Adult Svcs Coordinator,70000.0,21 - 30 years
Assistant Professor,63000.0,11 - 20 years
Marketing Director,156000.0,11 - 20 years
Senior Attorney,124800.0,11 - 20 years
Delivery Driver,33000.0,5-7 years
Web Content Administrator,83000.0,11 - 20 years
User Services Librarian,50000.0,5-7 years
Assistant Professor ,52000.0,5-7 years
Analyst,82000.0,11 - 20 years
Online Community Manager,82000.0,21 - 30 years
Training manager,86000.0,21 - 30 years
Licensed Practical Nurse,54000.0,8 - 10 years
Communications Specialist,76000.0,21 - 30 years
Public Safety Auditor,112016.0,11 - 20 years
Attorney,95000.0,11 - 20 years
Librarian,58657.0,8 - 10 years
Product Developer,75000.0,5-7 years
School Psychologist,114000.0,2 - 4 years
Valuation Actuary,127500.0,8 - 10 years
Finance Director ,131000.0,8 - 10 years
Librarian ,49089.0,11 - 20 years
Senior Content Strategist,127000.0,8 - 10 years
Associate Director of Training ,160000.0,11 - 20 years
Academic Advisor,55000.0,8 - 10 years
Software Engineer II,148000.0,5-7 years
Campaign Development Specialist ,39000.0,2 - 4 years
Senior Marketing Research Analyst,105000.0,2 - 4 years
Training Consultant/ Program Manager,73000.0,8 - 10 years
Loan processor,40000.0,21 - 30 years
Systems Librarian,56000.0,11 - 20 years
Administrative Support Supervisor,30000.0,21 - 30 years
Assistant Director of Finance,91000.0,8 - 10 years
"Senior Manager II, People Operations",93000.0,11 - 20 years
Software engineer,250000.0,8 - 10 years
Service manager,36000.0,11 - 20 years
EHS analyst,70000.0,8 - 10 years
Automation engineer,70000.0,8 - 10 years
Controller,125000.0,11 - 20 years
Registered Nurse,66900.0,21 - 30 years
Director of Events,100000.0,8 - 10 years
Asset Analyst,47761.0,5-7 years
Biologist,92000.0,11 - 20 years
Ot,43000.0,5-7 years
Practice Support Analyst,104600.0,11 - 20 years
Grant Manager,51330.0,2 - 4 years
Branch Librarian,61589.0,21 - 30 years
Travel Agent,60000.0,2 - 4 years
Process Chemist,70000.0,8 - 10 years
Energy Analyst (Self-Employed),200000.0,8 - 10 years
GIS Lead,75000.0,21 - 30 years
Assistant Winemaker,82000.0,8 - 10 years
Principal scientist,156000.0,11 - 20 years
Social worker,63000.0,11 - 20 years
Business operations administrator ,40000.0,11 - 20 years
Assistant Managing Editor,74000.0,11 - 20 years
Pharmacist,99000.0,1 year or less
Infection Preventionist,105000.0,8 - 10 years
Assistant Director,59000.0,11 - 20 years
Librarian,49000.0,31 - 40 years
Data Analyst,50000.0,21 - 30 years
Senior Producer,69000.0,21 - 30 years
product manager,115000.0,5-7 years
Librarian,110000.0,21 - 30 years
Digital Campaigns Manager,70010.0,5-7 years
Teacher,42000.0,8 - 10 years
Librarian,65000.0,11 - 20 years
Senior Director of Digital Strategy,107500.0,11 - 20 years
Tech Writer/Compliance Analyst,95000.0,21 - 30 years
Financial Aid Counselor,42000.0,11 - 20 years
Director of Programs,108000.0,11 - 20 years
Director of Population Health & Business Operations,85000.0,11 - 20 years
Client Service Representative,57900.0,8 - 10 years
Senior Associate,90000.0,5-7 years
Customer Support Supervisor ,71500.0,2 - 4 years
Associate Attorney (mid-level),265000.0,5-7 years
"Super sub, Tech Assistant, After School Instructor ",36000.0,8 - 10 years
Social Media/PPC,52000.0,8 - 10 years
Senior Copywriter,55500.0,11 - 20 years
Senior Research Analyst,88000.0,8 - 10 years
High School ESL teacher,44000.0,2 - 4 years
Graphic Design Supervisor,53000.0,21 - 30 years
Interior Designer,53000.0,5-7 years
Senior Scrum Master,145000.0,8 - 10 years
Clinical Research Associate,87900.0,5-7 years
Onboarding Specialist,54000.0,5-7 years
Compliance,45000.0,11 - 20 years
Veterinary Specialist,89800.0,21 - 30 years
Library Information Supervisor,70291.0,8 - 10 years
Full-Time Instructor,30000.0,8 - 10 years
research scientist,250000.0,11 - 20 years
Shift lead ,30000.0,21 - 30 years
English Teacher,37000.0,5-7 years
Risk Management Analyst,69100.0,21 - 30 years
Android Engineer,92500.0,2 - 4 years
Librarian,37000.0,11 - 20 years
Actuarial consultant,180000.0,21 - 30 years
Data Analytics Lead,86000.0,8 - 10 years
Zoo curator,80000.0,31 - 40 years
Grant Writer,45000.0,11 - 20 years
Program Coordinator,44000.0,21 - 30 years
Research Associate ,40000.0,11 - 20 years
Program Manager,70000.0,8 - 10 years
Senior Quality Assurance Analyst,95000.0,11 - 20 years
Hr generalist,80000.0,11 - 20 years
Manager,80000.0,8 - 10 years
Quantitative Research Scientist ,115000.0,2 - 4 years
Manager,93000.0,21 - 30 years
Senior Mechanical Engineer,94400.0,11 - 20 years
State Field Director,70000.0,5-7 years
Library Fellow,35000.0,2 - 4 years
Quality Assurance Laboratory Manager,83000.0,11 - 20 years
Product Training Specialist,72100.0,8 - 10 years
Talent Relations Manager,75500.0,8 - 10 years
Senior Structural Engineer,94000.0,8 - 10 years
staff attorney,77000.0,8 - 10 years
Global Compliance Manager,98500.0,11 - 20 years
Research Analyst,39000.0,2 - 4 years
Director of Development & Marketing,92000.0,11 - 20 years
